pasc,PASC Name Simple,ICD-10-CM Code,ICD-10-CM Code_clean,ICD-10-CM Code Description,selected stringent,selected broader,snomed_code,mapping_source,concept_id,concept_name
Sleep wake disorders,Sleep disorders,G4733,G47.33,Obstructive sleep apnea (adult) (pediatric),1,1,1101000119103,imo,42872389,Obstructive sleep apnea of adult
Respiratory signs and symptoms,Dyspnea,R0602,R06.02,Shortness of breath,1,1,1119304009,imo,600589,Chronic post-COVID-19 syndrome
Diabetes mellitus with complication,Diabetes mellitus,E1139,E11.39,Type 2 diabetes mellitus with other diabetic ophthalmic complication,1,1,44054006,imo,201826,Type 2 diabetes mellitus
Malnutrition,Malnutrition,E43,E43,Unspecified severe protein-calorie malnutrition,1,1,88092000,imo,78236,Muscle atrophy
Diabetes mellitus with complication,Diabetes mellitus,E103319,E10.3319,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",1,1,397542006,imo,4288371,Moderate visual impairment
Sleep wake disorders,Sleep disorders,G471,G47.1,Hypersomnia,1,1,77692006,imo,438134,Hypersomnia
Sleep wake disorders,Sleep disorders,F515,F51.5,Nightmare disorder,1,1,111487009,imo,4009184,Dream anxiety disorder
Other nervous system disorders (neither hereditary nor degenerative),Encephalopathy,G08,G08,Intracranial and intraspinal phlebitis and thrombophlebitis,1,1,56384000,imo,4209442,Embolism of inferior sagittal sinus
Diabetes mellitus with complication,Diabetes mellitus,E113313,E11.3313,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",1,1,60951000119105,imo,45763582,Blindness due to type 2 diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E083523,E08.3523,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",1,1,710815001,imo,46272451,Long-term current use of insulin
Diabetes mellitus with complication,Diabetes mellitus,E1139,E11.39,Type 2 diabetes mellitus with other diabetic ophthalmic complication,1,1,193716005,imo,4109118,"Better eye: severe visual impairment, Lesser eye: profound visual impairment"
Other general signs and symptoms,Edema,R29898,R29.898,Other symptoms and signs involving the musculoskeletal system,1,1,274563008,imo,4171779,Muscle contracture absent
"Musculoskeletal pain, not low back pain",Joint pain,M7918,M79.18,"Myalgia, other site",1,1,45326000,imo,4166666,Shoulder pain
Diabetes mellitus with complication,Diabetes mellitus,E11331,E11.331,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,1,1,193708001,imo,4104386,"Better eye: profound visual impairment, Lesser eye: profound visual impairment"
Nervous system signs and symptoms,Cognitive problems,R4782,R47.82,Fluency disorder in conditions classified elsewhere,1,1,49049000,imo,381270,Parkinson's disease
Diabetes mellitus with complication,Diabetes mellitus,E103299,E10.3299,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",1,1,397540003,imo,4265433,Visual impairment
Diabetes mellitus with complication,Diabetes mellitus,E0822,E08.22,Diabetes mellitus due to underlying condition with diabetic chronic kidney disease,1,1,433144002,imo,443597,Chronic kidney disease stage 3
Diabetes mellitus with complication,Diabetes mellitus,E1133,E11.33,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy,1,1,312904009,imo,377552,Moderate nonproliferative retinopathy due to diabetes mellitus
Anemia,Anemia,D6489,D64.89,Other specified anemias,1,1,271737000,imo,439777,Anemia
Diabetes mellitus with complication,Diabetes mellitus,E1140,E11.40,"Type 2 diabetes mellitus with diabetic neuropathy, unspecified",1,1,359611005,imo,4234742,Diabetic neuropathy with neurologic complication
Diabetes mellitus with complication,Diabetes mellitus,E10321,E10.321,Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,1,1,314537004,imo,4151453,Diabetic optic papillopathy
Diabetes mellitus with complication,Diabetes mellitus,E133292,E13.3292,"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",1,1,769184004,imo,35626039,Mild nonproliferative retinopathy of left eye due to diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E1169,E11.69,Type 2 diabetes mellitus with other specified complication,1,1,235832002,imo,4340935,Hollow visceral neuropathy
Diabetes mellitus with complication,Diabetes mellitus,E103533,E10.3533,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",1,1,232011000,imo,4334883,Traction retinal detachment sparing macula
Pressure ulcer of skin,Pressure ulcer,L89110,L89.110,"Pressure ulcer of right upper back, unstageable",1,1,10678111000119101,imo,46269795,Ulcer of back
Diabetes mellitus with complication,Diabetes mellitus,E113411,E11.3411,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",1,1,97331000119101,imo,45770830,Macular edema and retinopathy due to type 2 diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E10319,E10.319,Type 1 diabetes mellitus with unspecified diabetic retinopathy without macular edema,1,1,417677008,imo,4218499,O/E - sight threatening diabetic retinopathy
Diabetes mellitus with complication,Diabetes mellitus,E11311,E11.311,Type 2 diabetes mellitus with unspecified diabetic retinopathy with macular edema,1,1,23672003,imo,381562,"Impairment level: better eye: moderate impairment: lesser eye: blind, not further specified"
Pressure ulcer of skin,Pressure ulcer,L89322,L89.322,"Pressure ulcer of left buttock, stage 2",1,1,420324007,imo,137945,Pressure ulcer stage 2
Diabetes mellitus with complication,Diabetes mellitus,E10359,E10.359,Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema,1,1,193728002,imo,4104391,"Better eye: moderate visual impairment, Lesser eye: moderate visual impairment"
Other general signs and symptoms,Edema,R6889,R68.89,Other general symptoms and signs,1,1,271712005,imo,4154801,Observation of sensation
Diabetes mellitus with complication,Diabetes mellitus,E11329,E11.329,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,1,1,63511007,imo,381007,Impairment level: better eye: profound impairment: lesser eye: not further specified
Pressure ulcer of skin,Pressure ulcer,L89891,L89.891,"Pressure ulcer of other site, stage 1",1,1,190389009,imo,4099651,Type 2 diabetes mellitus with ulcer
Other specified upper respiratory infections,Acute pharyngitis,J029,J02.9,"Acute pharyngitis, unspecified",1,1,195657008,imo,4112342,Acute ulcerative pharyngitis
Diabetes mellitus with complication,Diabetes mellitus,E1152,E11.52,Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene,1,1,399957001,imo,317309,Peripheral arterial occlusive disease
Headache; including migraine,Headache,G432,G43.2,Status migrainosus,1,1,NULL,imo,NULL,NULL
Abdominal pain and other digestive/abdomen signs and symptoms,Abdominal pain,R109,R10.9,Unspecified abdominal pain,1,1,385486001,imo,4300243,Postoperative complication
Acute pulmonary embolism,Pulmonary embolism,I2699,I26.99,Other pulmonary embolism without acute cor pulmonale,1,1,840539006,imo,37311061,COVID-19
Pressure ulcer of skin,Pressure ulcer,L89204,L89.204,"Pressure ulcer of unspecified hip, stage 4",1,1,420597008,imo,137345,Pressure ulcer stage 4
Nervous system signs and symptoms,Cognitive problems,R4789,R47.89,Other speech disturbances,1,1,229683000,imo,4047111,Motor speech disorder
Other specified and unspecified lower respiratory disease,Pulmonary fibrosis,J8410,J84.10,"Pulmonary fibrosis, unspecified",1,1,30042003,imo,4146744,Confluent fibrosis of lung
Other specified and unspecified skin disorders,Hair loss,L659,L65.9,"Nonscarring hair loss, unspecified",1,1,1148757008,imo,606878,Microcephaly
Diabetes mellitus with complication,Diabetes mellitus,E113313,E11.3313,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",1,1,312912001,imo,380097,Macular edema due to diabetes mellitus
Pressure ulcer of skin,Pressure ulcer,L89890,L89.890,"Pressure ulcer of other site, unstageable",1,1,580891000124108,imo,NULL,NULL
Diabetes mellitus with complication,Diabetes mellitus,E113419,E11.3419,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",1,1,312912001,imo,380097,Macular edema due to diabetes mellitus
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I809,I80.9,Phlebitis and thrombophlebitis of unspecified site,1,1,77910001,imo,4299783,Suppurative phlebitis
Other general signs and symptoms,Edema,R69,R69,"Illness, unspecified",1,1,70395000,imo,4323130,Home environment related disease
Diabetes mellitus with complication,Diabetes mellitus,E13311,E13.311,Other specified diabetes mellitus with unspecified diabetic retinopathy with macular edema,1,1,710815001,imo,46272451,Long-term current use of insulin
Diabetes mellitus with complication,Diabetes mellitus,E1049,E10.49,Type 1 diabetes mellitus with other diabetic neurological complication,1,1,1255271005,imo,NULL,NULL
Other general signs and symptoms,Edema,R2991,R29.91,Unspecified symptoms and signs involving the musculoskeletal system,1,1,116308004,imo,4022449,Finding of shoulder region
Diabetes mellitus with complication,Diabetes mellitus,E10311,E10.311,Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema,1,1,65956007,imo,4280821,Legal blindness
Diabetes mellitus with complication,Diabetes mellitus,E10341,E10.341,Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,1,1,399864000,imo,4162095,Macular edema not clinically significant due to diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E113542,E11.3542,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",1,1,237599002,imo,4130162,Insulin treated type 2 diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E133543,E13.3543,"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",1,1,770765001,imo,36674199,Proliferative retinopathy of right eye with diabetes mellitus
Other specified upper respiratory infections,Acute pharyngitis,J0410,J04.10,Acute tracheitis without obstruction,1,1,64369009,imo,4273095,Acute tracheitis without obstruction
Diabetes mellitus with complication,Diabetes mellitus,E083212,E08.3212,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, left eye",1,1,368711000119106,imo,37016356,Mild nonproliferative retinopathy due to secondary diabetes mellitus
Respiratory signs and symptoms,Dyspnea,R0689,R06.89,Other abnormalities of breathing,1,1,473023007,imo,43021974,Complication associated with device
Respiratory signs and symptoms,Dyspnea,R0602,R06.02,Shortness of breath,1,1,59466002,imo,4244438,Second trimester pregnancy
Other general signs and symptoms,Edema,R6889,R68.89,Other general symptoms and signs,1,1,1222901007,imo,NULL,NULL
Nervous system signs and symptoms,Cognitive problems,R438,R43.8,Other disturbances of smell and taste,1,1,36905001,imo,4286418,Secondary bitter taste disorder
Diabetes mellitus with complication,Diabetes mellitus,E11618,E11.618,Type 2 diabetes mellitus with other diabetic arthropathy,1,1,128597007,imo,4029964,Disorder of digit
Nervous system signs and symptoms,Cognitive problems,R292,R29.2,Abnormal reflex,1,1,299863007,imo,4100759,Anal reflex absent
Other general signs and symptoms,Edema,R69,R69,"Illness, unspecified",1,1,111947009,imo,4008093,"Functional disorder present, condition terminal"
Diabetes mellitus with complication,Diabetes mellitus,E103319,E10.3319,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",1,1,218951000119100,imo,45757571,Bilateral visual impairment
"Musculoskeletal pain, not low back pain",Joint pain,M25661,M25.661,"Stiffness of right knee, not elsewhere classified",1,1,304321000,imo,4127428,Decreased range of knee movement
Diabetes mellitus with complication,Diabetes mellitus,E10349,E10.349,Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,1,1,408416008,imo,4255402,O/E - left eye diabetic maculopathy
Other specified and unspecified lower respiratory disease,Pulmonary fibrosis,J988,J98.8,Other specified respiratory disorders,1,1,426542005,imo,4139210,Sleep hypoventilation due to lower airway obstruction
Nervous system signs and symptoms,Cognitive problems,R270,R27.0,"Ataxia, unspecified",1,1,87694001,imo,4227732,Pyruvate carboxylase deficiency
Fluid and electrolyte disorders,Fluid disorders,E8770,E87.70,"Fluid overload, unspecified",1,1,721163008,imo,36717150,Fluid overload without edema
Diabetes mellitus with complication,Diabetes mellitus,E08349,E08.349,Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema,1,1,95717004,imo,4318691,Secondary glaucoma
Abdominal pain and other digestive/abdomen signs and symptoms,Abdominal pain,R1084,R10.84,Generalized abdominal pain,1,1,136571000119109,imo,45757424,Adult colic
Diabetes mellitus with complication,Diabetes mellitus,E1142,E11.42,Type 2 diabetes mellitus with diabetic polyneuropathy,1,1,170747006,imo,440922,Diabetic on insulin
Nervous system signs and symptoms,Cognitive problems,R270,R27.0,"Ataxia, unspecified",1,1,33010005,imo,4140071,Floppy infant syndrome
Other general signs and symptoms,Edema,R2991,R29.91,Unspecified symptoms and signs involving the musculoskeletal system,1,1,418799008,imo,4303401,Finding reported by subject or history provider
Pressure ulcer of skin,Pressure ulcer,L89221,L89.221,"Pressure ulcer of left hip, stage 1",1,1,29791000175103,imo,NULL,NULL
Diabetes mellitus with complication,Diabetes mellitus,E11359,E11.359,Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema,1,1,4646004,imo,380718,Impairment level: one eye: profound impairment: other eye: not specified
Other general signs and symptoms,Edema,R6889,R68.89,Other general symptoms and signs,1,1,109638009,imo,4033159,Abnormal jaw opening
Diabetes mellitus with complication,Diabetes mellitus,E1100,E11.00,Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),1,1,20313009,imo,444369,Hyperosmolality
Diabetes mellitus with complication,Diabetes mellitus,E10351,E10.351,Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema,1,1,739681000,imo,42538169,Disorder of eye due to type 1 diabetes mellitus
Abdominal pain and other digestive/abdomen signs and symptoms,Abdominal pain,R188,R18.8,Other ascites,1,1,161671001,imo,4059464,H/O: liver recipient
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I80222,I80.222,Phlebitis and thrombophlebitis of left popliteal vein,1,1,16011911000119100,imo,609000,Thrombophlebitis of left popliteal vein
Other specified and unspecified lower respiratory disease,Pulmonary fibrosis,J984,J98.4,Other disorders of lung,1,1,128272009,imo,4027553,Disorder of lower respiratory system
"Musculoskeletal pain, not low back pain",Joint pain,M79673,M79.673,Pain in unspecified foot,1,1,274663001,imo,433456,Acute pain
Other nervous system disorders (neither hereditary nor degenerative),Encephalopathy,G988,G98.8,Other disorders of nervous system,1,1,473010000,imo,43021226,Hypersensitivity condition
Other specified and unspecified gastrointestinal disorders,Constipation,K6389,K63.89,Other specified diseases of intestine,1,1,235594008,imo,4341223,Bowel dysfunction
Other specified and unspecified lower respiratory disease,Pulmonary fibrosis,J22,J22,Unspecified acute lower respiratory infection,1,1,448739000,imo,40491473,Recurrent lower respiratory tract infection
"Musculoskeletal pain, not low back pain",Joint pain,M79601,M79.601,Pain in right arm,1,1,95673003,imo,4319473,Paresthesia of upper limb
Diabetes mellitus with complication,Diabetes mellitus,E083552,E08.3552,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, left eye",1,1,770766000,imo,36674200,Proliferative retinopathy of left eye due to diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E113519,E11.3519,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",1,1,422099009,imo,443733,Disorder of eye due to type 2 diabetes mellitus
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I80231,I80.231,Phlebitis and thrombophlebitis of right tibial vein,1,1,451421000124102,imo,764155,Disorder of right lower extremity
Other general signs and symptoms,Edema,R6889,R68.89,Other general symptoms and signs,1,1,89488007,imo,4229909,Disorder of the nose
Abdominal pain and other digestive/abdomen signs and symptoms,Abdominal pain,R159,R15.9,Full incontinence of feces,1,1,145151000119103,imo,45757463,Secondary organic encopresis
Diabetes mellitus with complication,Diabetes mellitus,E08339,E08.339,Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema,1,1,8801005,imo,195771,Secondary diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E0839,E08.39,Diabetes mellitus due to underlying condition with other diabetic ophthalmic complication,1,1,368711000119106,imo,37016356,Mild nonproliferative retinopathy due to secondary diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E10359,E10.359,Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema,1,1,414894003,imo,4215961,O/E - left eye stable treated proliferative diabetic retinopathy
Diabetes mellitus with complication,Diabetes mellitus,E103393,E10.3393,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",1,1,444074000,imo,40484649,Type 1 diabetes mellitus well controlled
Diabetes mellitus with complication,Diabetes mellitus,E08319,E08.319,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy without macular edema,1,1,268519009,imo,443238,Diabetic - poor control
Diabetes mellitus with complication,Diabetes mellitus,E083312,E08.3312,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, left eye",1,1,769186002,imo,35626042,Moderate nonproliferative diabetic retinopathy of left eye
Other nervous system disorders (neither hereditary nor degenerative),Encephalopathy,G08,G08,Intracranial and intraspinal phlebitis and thrombophlebitis,1,1,192761004,imo,4105338,Thrombosis transverse sinus
Diabetes mellitus with complication,Diabetes mellitus,E103393,E10.3393,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",1,1,36676002,imo,374930,Impairment level: profound impairment of both eyes
Nervous system signs and symptoms,Cognitive problems,R292,R29.2,Abnormal reflex,1,1,66091009,imo,440508,Congenital disease
Diabetes mellitus with complication,Diabetes mellitus,E103219,E10.3219,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",1,1,218951000119100,imo,45757571,Bilateral visual impairment
"Musculoskeletal pain, not low back pain",Joint pain,M25612,M25.612,"Stiffness of left shoulder, not elsewhere classified",1,1,84445001,imo,72404,Joint stiffness
Other general signs and symptoms,Edema,R6250,R62.50,Unspecified lack of expected normal physiological development in childhood,1,1,397827003,imo,4266035,Growth hormone deficiency
Diabetes mellitus with complication,Diabetes mellitus,E11339,E11.339,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,1,1,22385004,imo,373475,Impairment level: one eye: moderate impairment: other eye: not specified
Diabetes mellitus with complication,Diabetes mellitus,E10349,E10.349,Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,1,1,193714008,imo,4103738,"Better eye: severe visual impairment, Lesser eye: total visual impairment"
Pressure ulcer of skin,Pressure ulcer,L89223,L89.223,"Pressure ulcer of left hip, stage 3",1,1,428194005,imo,443593,Ulcer of thigh
"Musculoskeletal pain, not low back pain",Joint pain,M7910,M79.10,"Myalgia, unspecified site",1,1,16110005,imo,4052337,Ophthalmoplegia
Other general signs and symptoms,Edema,R69,R69,"Illness, unspecified",1,1,170550007,imo,4015932,Chronic disease - general
Neurocognitive disorders,Dementia,F05,F05,Delirium due to known physiological condition,1,1,1591000119103,imo,43530666,Dementia with behavioral disturbance
Diabetes mellitus with complication,Diabetes mellitus,E114,E11.4,Type 2 diabetes mellitus with neurological complications,1,1,44054006,imo,201826,Type 2 diabetes mellitus
Other specified and unspecified lower respiratory disease,Pulmonary fibrosis,J986,J98.6,Disorders of diaphragm,1,1,64228003,imo,4275136,Paralysis of diaphragm
Diabetes mellitus with complication,Diabetes mellitus,E1139,E11.39,Type 2 diabetes mellitus with other diabetic ophthalmic complication,1,1,237599002,imo,4130162,Insulin treated type 2 diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E1039,E10.39,Type 1 diabetes mellitus with other diabetic ophthalmic complication,1,1,111519001,imo,375264,Impairment level: one eye: near-total impairment: other eye: normal vision
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I82441,I82.441,Acute embolism and thrombosis of right tibial vein,1,1,444816006,imo,40481089,Embolism from thrombosis of vein of lower extremity
Neurocognitive disorders,Dementia,F05,F05,Delirium due to known physiological condition,1,1,49481000,imo,4177642,Postseizure delirium
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I824Z1,I82.4Z1,Acute embolism and thrombosis of unspecified deep veins of right distal lower extremity,1,1,373408007,imo,4189293,Vascular disorder of lower extremity
Diabetes mellitus with complication,Diabetes mellitus,E11339,E11.339,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,1,1,95717004,imo,4318691,Secondary glaucoma
Other specified and unspecified lower respiratory disease,Pulmonary fibrosis,J9809,J98.09,"Other diseases of bronchus, not elsewhere classified",1,1,58184002,imo,440059,Recurrent disease
Diabetes mellitus with complication,Diabetes mellitus,E113513,E11.3513,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",1,1,86643000,imo,376689,Impairment level: severe impairment of both eyes
"Musculoskeletal pain, not low back pain",Joint pain,M25629,M25.629,"Stiffness of unspecified elbow, not elsewhere classified",1,1,128131002,imo,76191,Disorder of upper arm
Diabetes mellitus with complication,Diabetes mellitus,E11329,E11.329,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,1,1,111519001,imo,375264,Impairment level: one eye: near-total impairment: other eye: normal vision
Diabetes mellitus with complication,Diabetes mellitus,E1139,E11.39,Type 2 diabetes mellitus with other diabetic ophthalmic complication,1,1,397541004,imo,4288370,Severe visual impairment
Diabetes mellitus with complication,Diabetes mellitus,E10622,E10.622,Type 1 diabetes mellitus with other skin ulcer,1,1,128137003,imo,72986,Disorder of lower leg
Other nervous system disorders (neither hereditary nor degenerative),Encephalopathy,G9689,G96.89,Other specified disorders of central nervous system,1,1,724549005,imo,37110329,Epilepsy due to infectious disease of central nervous system
Diabetes mellitus with complication,Diabetes mellitus,E13311,E13.311,Other specified diabetes mellitus with unspecified diabetic retinopathy with macular edema,1,1,769217008,imo,35626067,Macular edema of right eye due to diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E0849,E08.49,Diabetes mellitus due to underlying condition with other diabetic neurological complication,1,1,422088007,imo,443730,Disorder of nervous system due to diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E133492,E13.3492,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",1,1,710815001,imo,46272451,Long-term current use of insulin
Diabetes mellitus with complication,Diabetes mellitus,E083513,E08.3513,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, bilateral",1,1,59276001,imo,380096,Proliferative retinopathy due to diabetes mellitus
Abdominal pain and other digestive/abdomen signs and symptoms,Abdominal pain,R192,R19.2,Visible peristalsis,1,1,80306002,imo,4197644,Increased peristalsis
Other specified and unspecified gastrointestinal disorders,Constipation,K599,K59.9,"Functional intestinal disorder, unspecified",1,1,81120009,imo,196151,Functional disorder of intestine
"Musculoskeletal pain, not low back pain",Joint pain,M25651,M25.651,"Stiffness of right hip, not elsewhere classified",1,1,249914008,imo,4097159,Hip stiff
Diabetes mellitus with complication,Diabetes mellitus,E10311,E10.311,Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema,1,1,63511007,imo,381007,Impairment level: better eye: profound impairment: lesser eye: not further specified
Nervous system signs and symptoms,Cognitive problems,R4182,R41.82,"Altered mental status, unspecified",1,1,46991000,imo,4264770,Absent minded
Diabetes mellitus with complication,Diabetes mellitus,E133293,E13.3293,"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",1,1,193699007,imo,372906,Blindness - both eyes
Diabetes mellitus with complication,Diabetes mellitus,E10311,E10.311,Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema,1,1,63385005,imo,378431,Impairment level: better eye: moderate impairment: lesser eye: not further specified
Diabetes mellitus with complication,Diabetes mellitus,E0836,E08.36,Diabetes mellitus due to underlying condition with diabetic cataract,1,1,218951000119100,imo,45757571,Bilateral visual impairment
Diabetes mellitus with complication,Diabetes mellitus,E08621,E08.621,Diabetes mellitus due to underlying condition with foot ulcer,1,1,397758007,imo,4287786,Avascular necrosis of bone
Diabetes mellitus with complication,Diabetes mellitus,E103399,E10.3399,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",1,1,57534004,imo,434337,Retinal vascular disorder
Diabetes mellitus with complication,Diabetes mellitus,E119,E11.9,Type 2 diabetes mellitus without complications,1,1,699211004,imo,44782446,Pressure ulcer of ankle
Diabetes mellitus with complication,Diabetes mellitus,E083519,E08.3519,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, unspecified eye",1,1,312909004,imo,4195044,Proliferative retinopathy with iris neovascularization due to diabetes mellitus
Malnutrition,Malnutrition,E45,E45,Retarded development following protein-calorie malnutrition,1,1,65404009,imo,4276360,Undernutrition
Diabetes mellitus with complication,Diabetes mellitus,E1331,E13.31,Other specified diabetes mellitus with unspecified diabetic retinopathy,1,1,NULL,imo,NULL,NULL
Sleep wake disorders,Sleep disorders,F5101,F51.01,Primary insomnia,1,1,3972004,imo,4215402,Primary insomnia
Diabetes mellitus with complication,Diabetes mellitus,E10311,E10.311,Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema,1,1,193716005,imo,4109118,"Better eye: severe visual impairment, Lesser eye: profound visual impairment"
Other specified and unspecified lower respiratory disease,Pulmonary fibrosis,J984,J98.4,Other disorders of lung,1,1,293451000,imo,4167632,Amiodarone adverse reaction
Pressure ulcer of skin,Pressure ulcer,L89014,L89.014,"Pressure ulcer of right elbow, stage 4",1,1,420597008,imo,137345,Pressure ulcer stage 4
Nervous system signs and symptoms,Cognitive problems,R279,R27.9,Unspecified lack of coordination,1,1,281016006,imo,441417,Incoordination
Other general signs and symptoms,Edema,R99,R99,Ill-defined and unknown cause of mortality,1,1,419620001,imo,4306655,Death
Abdominal pain and other digestive/abdomen signs and symptoms,Abdominal pain,R198,R19.8,Other specified symptoms and signs involving the digestive system and abdomen,1,1,418799008,imo,4303401,Finding reported by subject or history provider
Other nervous system disorders (neither hereditary nor degenerative),Encephalopathy,G959,G95.9,"Disease of spinal cord, unspecified",1,1,1186874005,imo,NULL,NULL
Diabetes mellitus with complication,Diabetes mellitus,E1111,E11.11,Type 2 diabetes mellitus with ketoacidosis with coma,1,1,268519009,imo,443238,Diabetic - poor control
Other general signs and symptoms,Edema,R29898,R29.898,Other symptoms and signs involving the musculoskeletal system,1,1,128619003,imo,4028528,Disorder of toe
Other specified and unspecified lower respiratory disease,Pulmonary fibrosis,J84843,J84.843,Alveolar capillary dysplasia with vein misalignment,1,1,447275002,imo,40491883,Alveolar capillary dysplasia with pulmonary venous misalignment
Diabetes mellitus with complication,Diabetes mellitus,E133542,E13.3542,"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",1,1,337431000119100,imo,36684679,Traction detachment of left retina
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I82619,I82.619,Acute embolism and thrombosis of superficial veins of unspecified upper extremity,1,1,234049002,imo,318775,Venous embolism
Other specified upper respiratory infections,Acute pharyngitis,J029,J02.9,"Acute pharyngitis, unspecified",1,1,1532007,imo,4035987,Viral pharyngitis
Other general signs and symptoms,Edema,R498,R49.8,Other voice and resonance disorders,1,1,34527004,imo,4142495,Hypophonia
Diabetes mellitus with complication,Diabetes mellitus,E1149,E11.49,Type 2 diabetes mellitus with other diabetic neurological complication,1,1,359611005,imo,4234742,Diabetic neuropathy with neurologic complication
Diabetes mellitus with complication,Diabetes mellitus,E1336,E13.36,Other specified diabetes mellitus with diabetic cataract,1,1,193708001,imo,4104386,"Better eye: profound visual impairment, Lesser eye: profound visual impairment"
Diabetes mellitus with complication,Diabetes mellitus,E1139,E11.39,Type 2 diabetes mellitus with other diabetic ophthalmic complication,1,1,193708001,imo,4104386,"Better eye: profound visual impairment, Lesser eye: profound visual impairment"
