"atc_name","atc_code","rxnorm_code","rxnorm_name"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1803896","3 ML lixisenatide 0.1 MG/ML Pen Injector [Adlyxin]"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","1100700","linagliptin 5 MG"
"saxagliptin and dapagliflozin","A10BD21","2169275","dapagliflozin 5 MG / saxagliptin 5 MG [Qtern]"
"Sulfonylureas","A10BB","105372","glyburide 5 MG Oral Tablet [Calabren]"
"Sodium-glucose co-transporter 2 (SGLT2) inhibitors","A10BK","1373469","canagliflozin 100 MG Oral Tablet [Invokana]"
"metformin and ertugliflozin","A10BD23","1992694","ertugliflozin 2.5 MG / metformin hydrochloride 500 MG [Segluromet]"
"Other blood glucose lowering drugs, excl. insulins","A10BX","861038","pramlintide acetate 0.6 MG/ML"
"Other blood glucose lowering drugs, excl. insulins","A10BX","332066","guar gum 720 MG/ML"
"metformin and linagliptin","A10BD11","1796097","linagliptin 5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet"
"phenformin and sulfonylureas","A10BD01","432853","chlorpropamide 250 MG / phenformin 25 MG Oral Tablet"
"phenformin; oral","A10BA01","450554","phenformin Oral Capsule"
"metformin and canagliflozin","A10BD16","1545165","canagliflozin 50 MG / metformin hydrochloride 500 MG [Invokamet]"
"Alpha glucosidase inhibitors","A10BF","569872","acarbose 100 MG [Precose]"
"Sulfonylureas","A10BB","844809","glipizide 2.5 MG Extended Release Oral Tablet"
"Sulfonamides (heterocyclic)","A10BC","378823","glymidine Oral Tablet"
"metformin; oral","A10BA02","861007","metformin hydrochloride 500 MG Oral Tablet"
"pioglitazone and alogliptin","A10BD09","1368405","alogliptin 12.5 MG / pioglitazone 15 MG [Oseni]"
"metformin; oral","A10BA02","316256","metformin 500 MG"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","665035","sitagliptin Oral Tablet [Januvia]"
"Sulfonylureas","A10BB","105374","gliquidone 30 MG Oral Tablet"
"glimepiride and rosiglitazone","A10BD04","847722","glimepiride 4 MG / rosiglitazone 8 MG [Avandaryl]"
"Thiazolidinediones","A10BG","317573","pioglitazone 15 MG Oral Tablet"
"metformin and dapagliflozin","A10BD15","1593826","dapagliflozin 10 MG / metformin hydrochloride 500 MG [Xigduo]"
"metformin and sulfonylureas","A10BD02","861750","glyburide 2.5 MG / metformin hydrochloride 500 MG [Glucovance]"
"Sulfonylureas","A10BB","568686","tolazamide 500 MG [Tolinase]"
"Sulfonylureas","A10BB","430102","glyburide 3.5 MG Oral Tablet"
"Sulfonylureas","A10BB","379570","glyburide Oral Tablet [Calabren]"
"Sulfonylureas","A10BB","199246","glimepiride 2 MG Oral Tablet"
"metformin and pioglitazone","A10BD05","731442","metformin / pioglitazone Oral Tablet [Actoplus Met]"
"Sulfonylureas","A10BB","566769","glyburide 5 MG [Micronase]"
"Sulfonylureas","A10BB","1361492","glimepiride 6 MG"
"metformin and linagliptin","A10BD11","1796095","linagliptin 5 MG / metformin hydrochloride 1000 MG [Jentadueto]"
"Alpha glucosidase inhibitors","A10BF","205329","miglitol 25 MG Oral Tablet"
"Other blood glucose lowering drugs, excl. insulins","A10BX","316631","repaglinide 2 MG"
"pioglitazone and alogliptin","A10BD09","1368426","alogliptin 25 MG / pioglitazone 15 MG [Oseni]"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","897120","liraglutide 6 MG/ML"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1551291","dulaglutide"
"metformin and pioglitazone","A10BD05","899996","24 HR metformin hydrochloride 1000 MG / pioglitazone 30 MG Extended Release Oral Tablet"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","858038","saxagliptin 5 MG [Onglyza]"
"metformin and dapagliflozin","A10BD15","1940498","24 HR dapagliflozin 2.5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Xigduo]"
"Sulfonylureas","A10BB","379803","glipizide Oral Tablet [Glibenese]"
"Sodium-glucose co-transporter 2 (SGLT2) inhibitors","A10BK","1992820","ertugliflozin 15 MG [Steglatro]"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","2200655","semaglutide 7 MG"
"Thiazolidinediones","A10BG","153724","troglitazone 400 MG Oral Tablet [Romozin]"
"metformin and empagliflozin","A10BD20","1664327","empagliflozin 5 MG / metformin hydrochloride 1000 MG [Synjardy]"
"glimepiride and rosiglitazone","A10BD04","847724","glimepiride 4 MG / rosiglitazone 8 MG Oral Tablet [Avandaryl]"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1534824","albiglutide 100 MG/ML Pen Injector [Tanzeum]"
"Sulfonylureas","A10BB","881411","glyburide 6 MG Oral Tablet [Glynase]"
"Sulfonylureas","A10BB","4816","gliclazide"
"Sulfonylureas","A10BB","565671","glyburide 2.5 MG [Diabetamide]"
"metformin and empagliflozin","A10BD20","1862693","empagliflozin 12.5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet"
"Sodium-glucose co-transporter 2 (SGLT2) inhibitors","A10BK","1545661","empagliflozin Oral Tablet [Jardiance]"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1803888","lixisenatide 0.05 MG/ML [Adlyxin]"
"Thiazolidinediones","A10BG","261267","pioglitazone 30 MG Oral Tablet [Actos]"
"metformin and saxagliptin","A10BD10","1043572","metformin hydrochloride 1000 MG / saxagliptin 5 MG [Kombiglyze]"
"metformin; oral","A10BA02","860975","24 HR metformin hydrochloride 500 MG Extended Release Oral Tablet"
"metformin and empagliflozin","A10BD20","1862692","24 HR empagliflozin 12.5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Synjardy]"
"Sulfonylureas","A10BB","865574","glipizide 5 MG Extended Release Oral Tablet [Glucotrol]"
"sitagliptin and ertugliflozin","A10BD24","1992835","ertugliflozin 5 MG / sitagliptin 100 MG Oral Tablet"
"Sulfonylureas","A10BB","865573","24 HR glipizide 5 MG Extended Release Oral Tablet [Glucotrol]"
"metformin and dapagliflozin","A10BD15","1593831","24 HR dapagliflozin 5 MG / metformin hydrochloride 500 MG Extended Release Oral Tablet [Xigduo]"
"metformin and sulfonylureas","A10BD02","861731","glipizide 2.5 MG / metformin hydrochloride 250 MG Oral Tablet"
"metformin; oral","A10BA02","2200518","metformin hydrochloride 100 MG/ML Extended Release Suspension"
"Thiazolidinediones","A10BG","374606","pioglitazone Oral Tablet"
"metformin; oral","A10BA02","860978","metformin hydrochloride 500 MG Extended Release Oral Tablet"
"metformin and dapagliflozin","A10BD15","1593068","24 HR dapagliflozin 10 MG / metformin hydrochloride 500 MG Extended Release Oral Tablet"
"metformin; oral","A10BA02","861002","Osmotic 24 HR metformin hydrochloride 500 MG Extended Release Oral Tablet [Fortamet]"
"Sulfonylureas","A10BB","201062","glyburide 5 MG Oral Tablet [Euglucon]"
"Sulfonylureas","A10BB","198291","tolazamide 100 MG Oral Tablet"
"metformin and rosiglitazone","A10BD03","861806","metformin hydrochloride 500 MG / rosiglitazone 2 MG Oral Tablet"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","757710","vildagliptin 100 MG Oral Tablet"
"Alpha glucosidase inhibitors","A10BF","372926","miglitol Oral Tablet"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","2200644","semaglutide 14 MG Oral Tablet"
"Sulfonylureas","A10BB","369557","glyburide Oral Tablet [Semi-Daonil]"
"Sulfonylureas","A10BB","370529","acetohexamide Oral Tablet"
"metformin and dapagliflozin","A10BD15","1593774","dapagliflozin / metformin Extended Release Oral Tablet [Xigduo]"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","1100706","linagliptin 5 MG Oral Tablet [Tradjenta]"
"metformin and dapagliflozin","A10BD15","1593070","24 HR dapagliflozin 5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet"
"Sulfonylureas","A10BB","881409","glyburide 3 MG Oral Tablet [Glynase]"
"linagliptin and empagliflozin","A10BD19","1602119","empagliflozin 25 MG / linagliptin 5 MG [Glyxambi]"
"Sodium-glucose co-transporter 2 (SGLT2) inhibitors","A10BK","1545664","empagliflozin 10 MG Oral Tablet [Jardiance]"
"Sulfonylureas","A10BB","197307","acetohexamide 500 MG Oral Tablet"
"metformin and sulfonylureas","A10BD02","849585","glipizide / metformin Oral Tablet [Metaglip]"
"Sulfonylureas","A10BB","315990","glyburide 3 MG"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1803892","3 ML lixisenatide 0.05 MG/ML Pen Injector"
"Sulfonylureas","A10BB","153845","glimepiride 4 MG Oral Tablet [Amaryl]"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","1189827","simvastatin 40 MG / sitagliptin 100 MG Oral Tablet [Juvisync]"
"Other blood glucose lowering drugs, excl. insulins","A10BX","226912","repaglinide 1 MG Oral Tablet [NovoNorm]"
"Sulfonylureas","A10BB","844827","glipizide 10 MG Extended Release Oral Tablet"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","858039","saxagliptin Oral Tablet [Onglyza]"
"Sulfonylureas","A10BB","310534","glyburide 2.5 MG Oral Tablet"
"Sulfonylureas","A10BB","A10BB05","tolazamide; oral"
"metformin and sulfonylureas","A10BD02","861737","glipizide 2.5 MG / metformin hydrochloride 500 MG [Metaglip]"
"metformin and rosiglitazone","A10BD03","861797","metformin hydrochloride 500 MG / rosiglitazone 1 MG Oral Tablet [Avandamet]"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","2200658","semaglutide 7 MG Oral Tablet [Rybelsus]"
"Sodium-glucose co-transporter 2 (SGLT2) inhibitors","A10BK","1373466","canagliflozin Oral Tablet [Invokana]"
"Sodium-glucose co-transporter 2 (SGLT2) inhibitors","A10BK","1373463","canagliflozin 100 MG Oral Tablet"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","1368035","alogliptin 12.5 MG [Nesina]"
"metformin and canagliflozin","A10BD16","1545161","canagliflozin 50 MG / metformin hydrochloride 1000 MG Oral Tablet"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1990869","0.85 ML exenatide 2.35 MG/ML Auto-Injector [Bydureon]"
"glimepiride and rosiglitazone","A10BD04","602550","glimepiride 4 MG / rosiglitazone 4 MG Oral Tablet"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","A10BH02","vildagliptin; oral"
"Other blood glucose lowering drugs, excl. insulins","A10BX","446631","nateglinide 30 MG"
"metformin and saxagliptin","A10BD10","1043563","24 HR metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet"
"Other blood glucose lowering drugs, excl. insulins","A10BX","274332","nateglinide"
"metformin; oral","A10BA02","204045","metformin hydrochloride 500 MG Oral Tablet [Orabet Metformin]"
"Thiazolidinediones","A10BG","368234","rosiglitazone Oral Tablet [Avandia]"
"metformin and repaglinide","A10BD14","805670","metformin / repaglinide Oral Tablet [PrandiMet]"
"metformin and alogliptin","A10BD13","1368398","alogliptin 12.5 MG / metformin hydrochloride 500 MG Oral Tablet [Kazano]"
"Sodium-glucose co-transporter 2 (SGLT2) inhibitors","A10BK","1488565","dapagliflozin 10 MG"
"metformin and rosiglitazone","A10BD03","861795","metformin hydrochloride 500 MG / rosiglitazone 1 MG Oral Tablet"
"Sulfonylureas","A10BB","372319","glimepiride Oral Tablet"
"Sulfonylureas","A10BB","245266","tolbutamide 1000 MG Oral Tablet"
"Sulfonylureas","A10BB","93312","glyburide Oral Tablet [Micronase]"
"metformin and sulfonylureas","A10BD02","861733","glipizide 2.5 MG / metformin hydrochloride 250 MG Oral Tablet [Metaglip]"
"metformin and sitagliptin","A10BD07","1243834","metformin hydrochloride 1000 MG / sitagliptin 100 MG Extended Release Oral Tablet"
"Sulfonylureas","A10BB","A10BB04","glibornuride; oral"
"metformin; oral","A10BA02","204047","metformin hydrochloride 850 MG Oral Tablet [Orabet Metformin]"
"Sulfonylureas","A10BB","201922","glipizide 2.5 MG Oral Tablet [Minidiab]"
"Sulfonylureas","A10BB","315274","acetohexamide 500 MG"
"metformin and sitagliptin","A10BD07","861771","metformin hydrochloride 1000 MG / sitagliptin 50 MG Oral Tablet [Janumet]"
"metformin; oral","A10BA02","431724","12 HR metformin hydrochloride 850 MG Extended Release Oral Tablet"
"Thiazolidinediones","A10BG","572492","troglitazone 400 MG [Rezulin]"
"Other blood glucose lowering drugs, excl. insulins","A10BX","573137","repaglinide 1 MG [Prandin]"
"Sulfonylureas","A10BB","330349","glipizide 2.5 MG"
"metformin; oral","A10BA02","802051","metformin Extended Release Oral Tablet [Glucophage]"
"Thiazolidinediones","A10BG","199984","troglitazone 200 MG Oral Tablet"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","1368034","alogliptin 12.5 MG Oral Tablet"
"metformin; oral","A10BA02","861015","Modified 24 HR metformin hydrochloride 1000 MG Extended Release Oral Tablet [Glumetza]"
"phenformin; oral","A10BA01","410524","phenformin 50 MG Oral Capsule"
"metformin and rosiglitazone","A10BD03","861817","metformin hydrochloride 500 MG / rosiglitazone 4 MG [Avandamet]"
"metformin and empagliflozin","A10BD20","1664313","empagliflozin / metformin Oral Tablet"
"Thiazolidinediones","A10BG","332436","pioglitazone 45 MG"
"metformin and empagliflozin","A10BD20","1862691","24 HR empagliflozin 12.5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet"
"Sodium-glucose co-transporter 2 (SGLT2) inhibitors","A10BK","1992819","ertugliflozin 15 MG Oral Tablet"
"metformin and linagliptin","A10BD11","1243037","linagliptin / metformin Oral Tablet [Jentadueto]"
"Sulfonylureas","A10BB","201064","glyburide 5 MG Oral Tablet [Diabetamide]"
"Sodium-glucose co-transporter 2 (SGLT2) inhibitors","A10BK","1992813","ertugliflozin Oral Tablet [Steglatro]"
"metformin and sulfonylureas","A10BD02","378730","glipizide / metformin Oral Tablet"
"metformin; oral","A10BA02","368526","metformin Oral Tablet [Glucamet]"
"Alpha glucosidase inhibitors","A10BF","370504","acarbose Oral Tablet"
"metformin and dapagliflozin","A10BD15","1940496","24 HR dapagliflozin 2.5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet"
"Sulfonylureas","A10BB","313419","tolbutamide 250 MG Oral Tablet"
"Sulfonylureas","A10BB","313418","tolazamide 250 MG Oral Capsule"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1990867","exenatide 2.35 MG/ML [Bydureon]"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","2200656","semaglutide 7 MG Oral Tablet"
"Sulfonylureas","A10BB","1361494","glimepiride 8 MG"
"Other blood glucose lowering drugs, excl. insulins","A10BX","18880","benfluorex"
"sitagliptin and ertugliflozin","A10BD24","1992826","ertugliflozin 15 MG / sitagliptin 100 MG Oral Tablet"
"metformin and dapagliflozin","A10BD15","1940495","dapagliflozin 2.5 MG"
"metformin and canagliflozin","A10BD16","1811007","24 HR canagliflozin 50 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Invokamet]"
"metformin; oral","A10BA02","861025","metformin hydrochloride 100 MG/ML Oral Solution"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1659115","albiglutide Pen Injector"
"pioglitazone and alogliptin","A10BD09","1368417","alogliptin 12.5 MG / pioglitazone 45 MG Oral Tablet"
"metformin; oral","A10BA02","861011","metformin hydrochloride 850 MG [Glucophage]"
"Other blood glucose lowering drugs, excl. insulins","A10BX","429348","guar gum 1000 MG Oral Tablet"
"metformin and empagliflozin","A10BD20","1862703","empagliflozin 5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Synjardy]"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","A10BH51","sitagliptin and simvastatin"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","1312411","simvastatin 10 MG / sitagliptin 50 MG [Juvisync]"
"pioglitazone and alogliptin","A10BD09","1368410","alogliptin 12.5 MG / pioglitazone 30 MG Oral Tablet"
"Alpha glucosidase inhibitors","A10BF","316306","miglitol 50 MG"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","1368020","alogliptin 6.25 MG Oral Tablet [Nesina]"
"Sulfonylureas","A10BB","1361495","glimepiride 8 MG Oral Tablet"
"metformin and canagliflozin","A10BD16","1545162","canagliflozin 50 MG / metformin hydrochloride 1000 MG [Invokamet]"
"metformin and empagliflozin","A10BD20","1862697","24 HR empagliflozin 25 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Synjardy]"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1803897","lixisenatide 0.1 MG/ML Pen Injector"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1803898","lixisenatide 0.1 MG/ML Pen Injector [Adlyxin]"
"glimepiride and pioglitazone","A10BD06","647239","glimepiride 4 MG / pioglitazone 30 MG Oral Tablet"
"Other blood glucose lowering drugs, excl. insulins","A10BX","A10BX06","benfluorex; oral"
"Other blood glucose lowering drugs, excl. insulins","A10BX","582702","pramlintide Injectable Solution [Symlin]"
"metformin and ertugliflozin","A10BD23","1992680","ertugliflozin 2.5 MG"
"metformin; oral","A10BA02","1807917","Osmotic 24 HR metformin hydrochloride 500 MG Extended Release Oral Tablet"
"sitagliptin and ertugliflozin","A10BD24","1992829","ertugliflozin / sitagliptin Oral Tablet [Steglujan]"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","665044","sitagliptin 50 MG Oral Tablet [Januvia]"
"Alpha glucosidase inhibitors","A10BF","199150","acarbose 100 MG Oral Tablet"
"Alpha glucosidase inhibitors","A10BF","315247","acarbose 25 MG"
"Sodium-glucose co-transporter 2 (SGLT2) inhibitors","A10BK","1373458","canagliflozin"
"metformin and sitagliptin","A10BD07","1243833","24 HR metformin hydrochloride 1000 MG / sitagliptin 100 MG Extended Release Oral Tablet [Janumet]"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1551306","0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity]"
"linagliptin and empagliflozin","A10BD19","1602109","empagliflozin 10 MG / linagliptin 5 MG Oral Tablet"
"Sulfonylureas","A10BB","565672","glyburide 5 MG [Libanil]"
"metformin; oral","A10BA02","861730","metformin hydrochloride 250 MG"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1991308","semaglutide 1.34 MG/ML [Ozempic]"
"metformin and linagliptin","A10BD11","1243027","linagliptin 2.5 MG / metformin hydrochloride 500 MG Oral Tablet"
"metformin and canagliflozin","A10BD16","1811003","24 HR canagliflozin 150 MG / metformin hydrochloride 500 MG Extended Release Oral Tablet [Invokamet]"
"glimepiride and rosiglitazone","A10BD04","847708","glimepiride 4 MG / rosiglitazone 4 MG Oral Tablet [Avandaryl]"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","2200643","semaglutide Oral Tablet"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1990866","0.85 ML exenatide 2.35 MG/ML Auto-Injector"
"Other blood glucose lowering drugs, excl. insulins","A10BX","861039","pramlintide acetate 0.6 MG/ML Injectable Solution"
"metformin and pioglitazone","A10BD05","899989","24 HR metformin hydrochloride 1000 MG / pioglitazone 15 MG Extended Release Oral Tablet"
"Sulfonylureas","A10BB","199247","glimepiride 4 MG Oral Tablet"
"metformin; oral","A10BA02","1807915","Modified 24 HR metformin hydrochloride 500 MG Extended Release Oral Tablet"
"metformin and empagliflozin","A10BD20","1862689","empagliflozin 10 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet"
"metformin; oral","A10BA02","2200517","metformin Extended Release Suspension"
"metformin and sitagliptin","A10BD07","861769","metformin hydrochloride 1000 MG / sitagliptin 50 MG Oral Tablet"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1242963","exenatide 2 MG Injection"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1803893","3 ML lixisenatide 0.05 MG/ML Pen Injector [Adlyxin]"
"Thiazolidinediones","A10BG","A10BG01","troglitazone; oral"
"metformin and canagliflozin","A10BD16","1810996","canagliflozin / metformin Extended Release Oral Tablet"
"metformin and linagliptin","A10BD11","1796096","24 HR linagliptin 5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Jentadueto]"
"metformin; oral","A10BA02","861001","metformin hydrochloride 500 MG [Fortamet]"
"Thiazolidinediones","A10BG","312441","pioglitazone 45 MG Oral Tablet"
"Sodium-glucose co-transporter 2 (SGLT2) inhibitors","A10BK","1545660","empagliflozin 10 MG [Jardiance]"
"saxagliptin and dapagliflozin","A10BD21","2169276","dapagliflozin 5 MG / saxagliptin 5 MG Oral Tablet [Qtern]"
"metformin and empagliflozin","A10BD20","1664310","empagliflozin 5 MG"
"glimepiride and pioglitazone","A10BD06","647237","glimepiride 2 MG / pioglitazone 30 MG Oral Tablet"
"Sodium-glucose co-transporter 2 (SGLT2) inhibitors","A10BK","1992821","ertugliflozin 15 MG Oral Tablet [Steglatro]"
"Sulfonylureas","A10BB","207954","tolazamide 250 MG Oral Tablet [Tolinase]"
"metformin; oral","A10BA02","876033","metformin hydrochloride 850 MG [Metforming]"
"phenformin and sulfonylureas","A10BD01","332811","phenformin 25 MG"
"Thiazolidinediones","A10BG","358500","rosiglitazone 8 MG"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1544916","0.65 ML exenatide 3.08 MG/ML Pen Injector"
"metformin and linagliptin","A10BD11","1243022","linagliptin 2.5 MG / metformin hydrochloride 1000 MG [Jentadueto]"
"Thiazolidinediones","A10BG","A10BG02","rosiglitazone; oral"
"Sulfonylureas","A10BB","865569","glipizide 10 MG Extended Release Oral Tablet [Glucotrol]"
"metformin; oral","A10BA02","861003","metformin hydrochloride 500 MG Extended Release Oral Tablet [Fortamet]"
"Sulfonylureas","A10BB","375952","tolazamide Oral Capsule"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","858035","saxagliptin Oral Tablet"
"metformin and rosiglitazone","A10BD03","861765","metformin hydrochloride 1000 MG / rosiglitazone 4 MG Oral Tablet [Avandamet]"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1534800","0.5 ML albiglutide 60 MG/ML Pen Injector"
"metformin and pioglitazone","A10BD05","899991","metformin hydrochloride 1000 MG / pioglitazone 15 MG [Actoplus Met]"
"metformin and linagliptin","A10BD11","1243020","linagliptin 2.5 MG / metformin hydrochloride 1000 MG Oral Tablet"
"metformin and ertugliflozin","A10BD23","1992697","ertugliflozin 7.5 MG"
"Sulfonylureas","A10BB","208012","tolbutamide 500 MG Oral Tablet [Orinase]"
"metformin and sitagliptin","A10BD07","861820","metformin hydrochloride 500 MG / sitagliptin 50 MG [Janumet]"
"Sodium-glucose co-transporter 2 (SGLT2) inhibitors","A10BK","A10BK02","canagliflozin; oral"
"Thiazolidinediones","A10BG","572491","troglitazone 200 MG [Rezulin]"
"metformin and sitagliptin","A10BD07","757603","metformin / sitagliptin Oral Tablet [Janumet]"
"Sulfonylureas","A10BB","565670","glyburide 2.5 MG [Malix]"
"Other blood glucose lowering drugs, excl. insulins","A10BX","861036","pramlintide acetate 1 MG/ML [Symlin]"
"Sulfonylureas","A10BB","379559","glyburide Oral Tablet [Euglucon]"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","1189814","simvastatin 20 MG / sitagliptin 100 MG Oral Tablet [Juvisync]"
"Sulfonylureas","A10BB","881405","glyburide 1.5 MG [Glynase]"
"Other blood glucose lowering drugs, excl. insulins","A10BX","402944","nateglinide Oral Tablet [Starlix]"
"phenformin and sulfonylureas","A10BD01","246524","glyburide 5 MG / phenformin 50 MG Oral Tablet"
"Sodium-glucose co-transporter 2 (SGLT2) inhibitors","A10BK","1373472","canagliflozin 300 MG [Invokana]"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","1368008","alogliptin 25 MG [Nesina]"
"metformin and sitagliptin","A10BD07","1243843","24 HR metformin hydrochloride 1000 MG / sitagliptin 50 MG Extended Release Oral Tablet [Janumet]"
"metformin and ertugliflozin","A10BD23","1992700","ertugliflozin 7.5 MG / metformin hydrochloride 1000 MG Oral Tablet [Segluromet]"
"Other blood glucose lowering drugs, excl. insulins","A10BX","574044","repaglinide 2 MG [NovoNorm]"
"Alpha glucosidase inhibitors","A10BF","213487","miglitol 100 MG Oral Tablet [Glyset]"
"Sulfonylureas","A10BB","566768","glyburide 5 MG [Diabeta]"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1440051","lixisenatide"
"Alpha glucosidase inhibitors","A10BF","30009","miglitol"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1991317","1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]"
"phenformin; oral","A10BA01","334886","phenformin 50 MG"
"Other blood glucose lowering drugs, excl. insulins","A10BX","331433","repaglinide 0.5 MG"
"Sulfonylureas","A10BB","25789","glimepiride"
"metformin; oral","A10BA02","860998","Osmotic 24 HR metformin hydrochloride 1000 MG Extended Release Oral Tablet [Fortamet]"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","847908","exenatide 0.01 MG/ACTUAT"
"metformin; oral","A10BA02","861000","metformin hydrochloride 1000 MG Extended Release Oral Tablet [Fortamet]"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","A10BJ03","lixisenatide; parenteral"
"phenformin; oral","A10BA01","637735","phenformin Extended Release Oral Capsule"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","665039","sitagliptin 25 MG [Januvia]"
"Sulfonylureas","A10BB","317379","glipizide 10 MG"
"Sulfonylureas","A10BB","430105","chlorpropamide 50 MG Oral Tablet"
"Sulfonylureas","A10BB","440286","glyburide 1 MG"
"Sulfonylureas","A10BB","669981","glyburide 1.25 MG [Glyburase]"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1653613","exenatide 2 MG [Bydureon]"
"Sulfonylureas","A10BB","700835","glipizide Extended Release Oral Tablet"
"Other blood glucose lowering drugs, excl. insulins","A10BX","440354","guar gum Oral Capsule"
"metformin and linagliptin","A10BD11","1243018","linagliptin / metformin Oral Tablet"
"metformin and empagliflozin","A10BD20","1664328","empagliflozin 5 MG / metformin hydrochloride 1000 MG Oral Tablet [Synjardy]"
"glimepiride and pioglitazone","A10BD06","647236","glimepiride / pioglitazone Oral Tablet"
"Sulfonylureas","A10BB","310490","glipizide 5 MG Oral Tablet"
"saxagliptin and dapagliflozin","A10BD21","1925500","dapagliflozin 10 MG / saxagliptin 5 MG [Qtern]"
"Sulfonylureas","A10BB","A10BB31","acetohexamide; oral"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1551305","dulaglutide 3 MG/ML [Trulicity]"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","1189821","simvastatin 40 MG / sitagliptin 100 MG Oral Tablet"
"pioglitazone and alogliptin","A10BD09","1368438","alogliptin 25 MG / pioglitazone 45 MG Oral Tablet"
"Sulfonylureas","A10BB","102846","glibornuride"
"Sulfonylureas","A10BB","315647","chlorpropamide 100 MG"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","757708","vildagliptin 100 MG"
"pioglitazone and alogliptin","A10BD09","1368444","alogliptin 25 MG / pioglitazone 45 MG Oral Tablet [Oseni]"
"metformin and empagliflozin","A10BD20","1664317","empagliflozin 5 MG / metformin hydrochloride 500 MG [Synjardy]"
"Sulfonylureas","A10BB","379804","glipizide 2.5 MG Oral Tablet"
"Sodium-glucose co-transporter 2 (SGLT2) inhibitors","A10BK","1992672","ertugliflozin"
"metformin and sitagliptin","A10BD07","1243839","metformin / sitagliptin Extended Release Oral Tablet [Janumet]"
