,PASC Name Simple,HD Domain (Defined by Nature paper),CCSR CATEGORY 1,CCSR CATEGORY 1 DESCRIPTION,ICD-10-CM,ICD-10-CM Code Description,Organ Domain,Original CCSR Domain
398,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R26.2,"Difficulty in walking, not elsewhere classified",Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
399,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R26.8,Other abnormalities of gait and mobility,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
400,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R26.81,Unsteadiness on feet,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
401,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R26.89,Other abnormalities of gait and mobility,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
402,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R26.9,Unspecified abnormalities of gait and mobility,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
403,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R27,Other lack of coordination,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
404,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R27.0,"Ataxia, unspecified",Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
405,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R27.8,Other lack of coordination,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
406,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R27.9,Unspecified lack of coordination,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
407,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R29.0,Tetany,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
408,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R29.1,Meningismus,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
409,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R29.2,Abnormal reflex,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
410,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R29.5,Transient paralysis,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
411,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R29.810,Facial weakness,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
412,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R29.818,Other symptoms and signs involving the nervous system,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
413,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R29.90,Unspecified symptoms and signs involving the nervous system,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
414,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R40.4,Transient alteration of awareness,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
415,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R41,Other symptoms and signs involving cognitive functions and awareness,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
416,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R41.0,"Disorientation, unspecified",Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
417,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R41.1,Anterograde amnesia,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
418,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R41.2,Retrograde amnesia,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
419,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R41.3,Other amnesia,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
420,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R41.4,Neurologic neglect syndrome,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
421,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R41.8,Other symptoms and signs involving cognitive functions and awareness,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
422,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R41.81,Age-related cognitive decline,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
423,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R41.82,"Altered mental status, unspecified",Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
424,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R41.83,Borderline intellectual functioning,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
425,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R41.84,Other specified cognitive deficit,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
426,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R41.840,Attention and concentration deficit,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
427,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R41.841,Cognitive communication deficit,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
428,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R41.842,Visuospatial deficit,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
429,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R41.843,Psychomotor deficit,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
430,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R41.844,Frontal lobe and executive function deficit,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
431,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R41.89,Other symptoms and signs involving cognitive functions and awareness,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
432,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R41.9,Unspecified symptoms and signs involving cognitive functions and awareness,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
433,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R43.0,Anosmia,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
434,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R43.1,Parosmia,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
435,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R43.2,Parageusia,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
436,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R43.8,Other disturbances of smell and taste,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
437,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R43.9,Unspecified disturbances of smell and taste,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
438,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R47,"Speech disturbances, not elsewhere classified",Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
439,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R47.0,Dysphasia and aphasia,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
440,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R47.01,Aphasia,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
441,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R47.02,Dysphasia,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
442,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R47.1,Dysarthria and anarthria,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
443,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R47.8,Other speech disturbances,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
444,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R47.81,Slurred speech,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
445,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R47.82,Fluency disorder in conditions classified elsewhere,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
446,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R47.89,Other speech disturbances,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
447,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R47.9,Unspecified speech disturbances,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
448,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R48,"Dyslexia and other symbolic dysfunctions, not elsewhere classified",Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
449,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R48.0,Dyslexia and alexia,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
450,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R48.1,Agnosia,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
451,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R48.2,Apraxia,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
452,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R48.3,Visual agnosia,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
453,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R48.8,Other symbolic dysfunctions,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
454,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R48.9,Unspecified symbolic dysfunctions,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
455,Cognitive problems,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM010,Nervous system signs and symptoms,R53.2,Functional quadriplegia,Diseases of the Nervous System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
456,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43,Migraine,Diseases of the Nervous System,Diseases of the Nervous System
457,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.0,Migraine without aura,Diseases of the Nervous System,Diseases of the Nervous System
458,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.00,"Migraine without aura, not intractable",Diseases of the Nervous System,Diseases of the Nervous System
459,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.001,"Migraine without aura, not intractable, with status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
460,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.009,"Migraine without aura, not intractable, without status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
461,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.01,"Migraine without aura, intractable",Diseases of the Nervous System,Diseases of the Nervous System
462,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.011,"Migraine without aura, intractable, with status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
463,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.019,"Migraine without aura, intractable, without status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
464,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.1,Migraine with aura,Diseases of the Nervous System,Diseases of the Nervous System
465,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.10,"Migraine with aura, not intractable",Diseases of the Nervous System,Diseases of the Nervous System
466,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.101,"Migraine with aura, not intractable, with status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
467,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.109,"Migraine with aura, not intractable, without status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
468,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.11,"Migraine with aura, intractable",Diseases of the Nervous System,Diseases of the Nervous System
469,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.111,"Migraine with aura, intractable, with status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
470,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.119,"Migraine with aura, intractable, without status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
471,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.2,Status migrainosus,Diseases of the Nervous System,Diseases of the Nervous System
472,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.4,Hemiplegic migraine,Diseases of the Nervous System,Diseases of the Nervous System
473,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.40,"Hemiplegic migraine, not intractable",Diseases of the Nervous System,Diseases of the Nervous System
474,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.401,"Hemiplegic migraine, not intractable, with status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
475,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.409,"Hemiplegic migraine, not intractable, without status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
476,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.41,"Hemiplegic migraine, intractable",Diseases of the Nervous System,Diseases of the Nervous System
477,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.411,"Hemiplegic migraine, intractable, with status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
478,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.419,"Hemiplegic migraine, intractable, without status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
479,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.5,Persistent migraine aura without cerebral infarction,Diseases of the Nervous System,Diseases of the Nervous System
480,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.50,"Persistent migraine aura without cerebral infarction, not intractable",Diseases of the Nervous System,Diseases of the Nervous System
481,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.501,"Persistent migraine aura without cerebral infarction, not intractable, with status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
482,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.509,"Persistent migraine aura without cerebral infarction, not intractable, without status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
483,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.51,"Persistent migraine aura without cerebral infarction, intractable",Diseases of the Nervous System,Diseases of the Nervous System
484,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.511,"Persistent migraine aura without cerebral infarction, intractable, with status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
485,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.519,"Persistent migraine aura without cerebral infarction, intractable, without status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
486,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.7,Chronic migraine without aura,Diseases of the Nervous System,Diseases of the Nervous System
487,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.70,"Chronic migraine without aura, not intractable",Diseases of the Nervous System,Diseases of the Nervous System
488,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.701,"Chronic migraine without aura, not intractable, with status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
489,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.709,"Chronic migraine without aura, not intractable, without status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
490,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.71,"Chronic migraine without aura, intractable",Diseases of the Nervous System,Diseases of the Nervous System
491,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.711,"Chronic migraine without aura, intractable, with status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
492,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.719,"Chronic migraine without aura, intractable, without status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
493,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.8,Other migraine,Diseases of the Nervous System,Diseases of the Nervous System
494,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.80,"Other migraine, not intractable",Diseases of the Nervous System,Diseases of the Nervous System
495,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.801,"Other migraine, not intractable, with status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
496,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.809,"Other migraine, not intractable, without status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
497,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.81,"Other migraine, intractable",Diseases of the Nervous System,Diseases of the Nervous System
498,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.811,"Other migraine, intractable, with status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
499,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.819,"Other migraine, intractable, without status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
500,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.82,"Menstrual migraine, not intractable",Diseases of the Nervous System,Diseases of the Nervous System
501,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.821,"Menstrual migraine, not intractable, with status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
502,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.829,"Menstrual migraine, not intractable, without status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
503,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.83,"Menstrual migraine, intractable",Diseases of the Nervous System,Diseases of the Nervous System
504,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.831,"Menstrual migraine, intractable, with status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
505,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.839,"Menstrual migraine, intractable, without status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
506,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.891,"Other migraine, intractable",Diseases of the Nervous System,Diseases of the Nervous System
507,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.899,"Other migraine, not intractable",Diseases of the Nervous System,Diseases of the Nervous System
508,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.9,"Migraine, unspecified",Diseases of the Nervous System,Diseases of the Nervous System
509,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.90,"Migraine, unspecified, not intractable",Diseases of the Nervous System,Diseases of the Nervous System
510,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.901,"Migraine, unspecified, not intractable, with status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
511,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.909,"Migraine, unspecified, not intractable, without status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
512,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.91,"Migraine, unspecified, intractable",Diseases of the Nervous System,Diseases of the Nervous System
513,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.911,"Migraine, unspecified, intractable, with status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
514,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.919,"Migraine, unspecified, intractable, without status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
515,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.A,Cyclical vomiting,Diseases of the Nervous System,Diseases of the Nervous System
516,Headache,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",NVS010,Headache; including migraine,G43.A0,"Cyclical vomiting, not intractable",Diseases of the Nervous System,Diseases of the Nervous System
517,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.A01,"Cyclical vomiting, not intractable, with status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
518,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.A09,"Cyclical vomiting, not intractable, without status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
519,Headache,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",NVS010,Headache; including migraine,G43.A1,"Cyclical vomiting, intractable",Diseases of the Nervous System,Diseases of the Nervous System
520,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.A11,"Cyclical vomiting, intractable, with status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
521,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.A19,"Cyclical vomiting, intractable, without status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
522,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.B,Ophthalmoplegic migraine,Diseases of the Nervous System,Diseases of the Nervous System
523,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.B0,"Ophthalmoplegic migraine, not intractable",Diseases of the Nervous System,Diseases of the Nervous System
524,Headache,Diseases of the Nervous System,NVS010,Headache; including migraine,G43.B01,"Ophthalmoplegic migraine, not intractable, with status migrainosus",Diseases of the Nervous System,Diseases of the Nervous System
